Name;MP;Area;County;Electorate;CON;LAB;LIB;Reform;Green;NAT;MIN;OTH
Cardiff North;Anna McMorrin;6;South Glamorgan;71335;9642;20849;3168;5985;3160;4669;0;0
Cardiff South and Penarth;Stephen Doughty;6;South Glamorgan;72613;5459;17428;2908;4493;5661;3227;0;0
Cardiff West;Alex Barros-Curtis;6;South Glamorgan;75473;6835;16442;1921;5626;3157;9423;0;1353
Ceredigion Preseli;Ben Lake;6;Dyfed;75690;4763;5386;6949;5374;1864;21738;228;0
Clwyd East;Becky Gittins;6;Clwyd;76637;13862;18484;1859;7626;1659;3733;0;599
Clwyd North;Gill German;6;Clwyd;75027;13598;14794;1685;7000;1391;3159;0;0
Dwyfor Meirionnydd;Liz Saville Roberts;6;Gwynedd;73042;4712;5912;1381;4857;1448;21788;0;297
Gower;Tonia Antoniazzi;6;West Glamorgan;76123;8913;20480;2593;8530;2488;3942;0;283
Llanelli;Nia Griffith;6;Dyfed;71536;4275;12751;1254;11247;1106;9511;0;600
Merthyr Tydfil and Aberdare;Gerald Jones;6;Mid Glamorgan;74460;2687;15791;1276;8344;1231;4768;531;587
Monmouthshire;Catherine Fookes;6;Gwent;74823;17672;21010;2279;5438;2357;1273;0;815
Montgomeryshire and Glyndwr;Steve Witherden;6;Powys;74039;7775;12709;6470;8894;1744;5667;0;0
Neath and Swansea East;Carolyn Harris;6;West Glamorgan;76291;3765;16797;2344;10170;1711;5350;0;0
Newport East;Jessica Morden;6;Gwent;76845;6487;16370;2045;7361;2092;2239;0;1937
Newport West and Islwyn;Ruth Jones;6;Gwent;75781;6710;17409;2087;8541;2078;3529;0;1597
Pembrokeshire Mid and South;Henry Tufnell;6;Dyfed;79031;14627;16505;2372;7828;1654;2962;0;681
Pontypridd;Alex Davies-Jones;6;Mid Glamorgan;75951;3775;16225;1606;7823;1865;5275;0;2809
Rhondda and Ogmore;Chris Bryant;6;Mid Glamorgan;74493;2050;17118;935;9328;1177;5198;0;0
Swansea West;Torsten Bell;6;West Glamorgan;74236;3536;14761;4367;6246;2305;4105;0;337
Torfaen;Nick Thomas-Symonds;6;Gwent;71738;5737;15176;1644;7854;1705;2571;0;1018
Vale of Glamorgan;Kanishka Narayan;6;South Glamorgan;74374;13524;17740;1612;6973;1881;3245;0;851
Wrexham;Andrew Steven Ranger;6;Clwyd;70269;9888;15836;1777;6915;1339;4138;0;480
Ynys Mon (Anglesey);Llinos Medi;6;Gwynedd;53141;9953;7619;439;3223;604;10590;0;200
Aberdeen North;Kirsty Blackman;2;Grampian;75925;5881;12773;2583;3781;1275;14533;0;1269
Aberdeen South;Stephen Flynn;2;Grampian;77328;11300;11455;2921;3199;1609;15213;0;648
Aberdeenshire North and Moray East;Seamus Logan;2;Grampian;70058;12513;3876;2782;5562;0;13455;0;0
Aberdeenshire West and Kincardine;Andrew Campbell Bowie;2;Grampian;72994;17428;6397;6342;3497;1032;13987;0;275
Airdrie and Shotts;Kenneth Stevenson;2;Glasgow area;70199;1696;18871;725;2971;0;11324;0;1079
Alloa and Grangemouth;Brian Leishman;2;Central;70680;3127;18039;1151;3804;1421;11917;223;1519
Angus and Perthshire Glens;Dave Doogan;2;Tayside;76668;14272;6799;3156;3246;0;19142;0;733
Arbroath and Broughty Ferry;Stephen Patrick Gethins;2;Tayside;76149;6841;14722;2249;3800;0;15581;0;924
Argyll, Bute and South Lochaber;Brendan O'Hara;2;Argyll and Bute;71756;9350;8585;7359;3045;0;15582;0;941
Ayr, Carrick and Cumnock;Elaine Stewart;2;Ayrshire and Lanark;70340;9247;14930;1081;3544;886;10776;0;472
Ayrshire Central;Alan Gemmell;2;Ayrshire and Lanark;69413;6147;18091;983;3420;1039;11222;0;517
Ayrshire North and Arran;Irene Campbell;2;Ayrshire and Lanark;72176;5954;16821;1005;3415;1327;13270;0;470
Bathgate and Linlithgow;Kirsteen Sullivan;2;Edinburgh area;72185;3144;19774;2171;3524;1390;11451;0;611
Berwickshire, Roxburgh and Selkirk;John Lamont;2;Borders;76438;18872;6311;3686;3340;1526;12273;0;550
Caithness, Sutherland and Easter Ross;Jamie Stone;2;Highland;74627;1860;3409;22736;3360;1641;12247;0;795
Coatbridge and Bellshill;Frank McNally;2;Glasgow area;72667;1382;19291;671;2601;1229;12947;0;610
Cowdenbeath and Kirkcaldy;Melanie Ward;2;Fife;71845;3203;18662;1593;3128;1556;11414;0;1258
Cumbernauld and Kirkintilloch;Katrina Murray;2;Glasgow area;70350;1939;18513;1294;3167;1694;14369;0;0
Dumfries and Galloway;John Cooper;2;Dumfries and Galloway;78541;13527;11767;2092;4313;1249;12597;0;230
Dumfriesshire, Clydesdale and Tweeddale;David Mundell;2;Dumfries and Galloway;71900;14999;10140;2800;3822;1488;10757;0;208
Dunbartonshire Mid;Susan Murray;2;Glasgow area;73596;2452;10993;22349;2099;1720;12676;0;449
Dunbartonshire West;Douglas McAllister;2;Glasgow area;69074;1474;19312;839;2770;1496;13302;0;391
Dundee Central;Chris Law;2;Tayside;74221;1569;14869;2402;2363;0;15544;192;1909
Dunfermline and Dollar;Graeme Downie;2;Fife;72824;3297;20336;3181;2887;2078;12095;0;663
East Kilbride and Strathaven;Joani Reid;2;Ayrshire and Lanark;76415;3547;22682;1074;3377;1811;13625;0;591
Edinburgh East and Musselburgh;Chris Murray;2;Edinburgh area;76188;2598;18790;1949;2129;4669;15075;0;365
Edinburgh North and Leith;Tracy Gilbert;2;Edinburgh area;78411;3254;20805;3879;1818;5417;13537;0;765
Edinburgh South;Ian Murray;2;Edinburgh area;70839;4001;24976;2746;1845;4270;7725;0;1263
Edinburgh South West;Scott Arthur;2;Edinburgh area;73784;5558;18663;3014;2087;3450;12446;0;446
Edinburgh West;Christine Anne Jardine;2;Edinburgh area;76490;2897;7854;26645;2209;2100;10175;0;591
Falkirk;Euan Stainbank;2;Central;73584;3576;18343;1092;3375;1711;13347;0;1181
Fife North East;Wendy Chamberlain;2;Fife;69762;1666;4026;23384;2094;1653;9905;0;0
Glasgow East;John Grady;2;Glasgow area;68988;1707;15543;872;2371;2727;11759;0;466
Glasgow North;Martin Rhodes;2;Glasgow area;67579;1366;14655;1142;1655;4233;11116;0;572
Glasgow North East;Maureen Burke;2;Glasgow area;72610;1182;15639;592;2272;2471;11002;0;933
Glasgow South;Gordon McKee;2;Glasgow area;70219;1617;17696;1316;1736;5554;13542;0;917
Glasgow South West;Zubir Ahmed;2;Glasgow area;68871;1387;15552;958;2236;2727;12267;0;542
Glasgow West;Patricia Ferguson;2;Glasgow area;69028;1720;18621;1316;2098;3662;12175;0;310
Glenrothes and Mid Fife;Richard Baker;2;Fife;70655;1973;15994;1604;3528;0;13040;0;0
Gordon and Buchan;Harriet Cross;2;Grampian;69605;14418;4686;7307;3897;0;13540;0;0
Hamilton and Clyde Valley;Imogen Walker;2;Ayrshire and Lanark;75480;4589;21020;1511;3299;0;11548;0;117
Inverclyde and Renfrewshire West;Martin McCluskey;2;Glasgow area;70124;2863;18931;1259;2476;1173;12560;0;1088
Inverness, Skye and West Ross-shire;Angus MacDonald;2;Highland;77927;2502;6246;18159;2934;2038;15999;0;178
Kilmarnock and Loudoun;Lillian Jones;2;Ayrshire and Lanark;74628;3527;19055;850;3472;1237;13936;0;401
Livingston;Gregor Poynton;2;Edinburgh area;78043;3469;18324;2025;3977;1704;14796;0;545
Lothian East;Douglas Alexander;2;Edinburgh area;75456;5535;23555;2649;3039;2477;10290;0;557
Midlothian;Kirsty McNeill;2;Edinburgh area;73916;3248;21480;2589;3276;0;13313;0;259
Moray West, Nairn and Strathspey;Graham Leadbitter;2;Grampian;77072;13960;8259;3785;3490;1676;14961;0;423
Motherwell, Wishaw and Carluke;Pamela Nash;2;Glasgow area;71777;2415;19168;822;3004;1200;12083;0;334
Na h-Eileanan An Iar (Western Isles);Torcuil Crichton;2;Western Isles;21235;647;6692;382;697;0;2856;0;2254
Orkney and Shetland;Alistair Carmichael;2;Orkney and Shetland;34236;586;1493;11392;1586;2046;3585;0;0
Paisley and Renfrewshire North;Alison Suzanne Watt Taylor;2;Glasgow area;71103;2659;19561;1374;3228;1469;13228;0;0
Paisley and Renfrewshire South;Johanna Baxter;2;Glasgow area;71574;2219;19583;1315;2956;1724;13056;0;430
Perth and Kinross-shire;Pete Wishart;2;Tayside;77261;14801;9018;3681;2970;0;18928;0;679
Renfrewshire East;Blair McDougall;2;Glasgow area;73380;8494;21935;1150;2360;1510;13514;0;1264
Rutherglen;Michael Shanks;2;Ayrshire and Lanark;72674;2420;21460;1714;2685;0;12693;0;1512
Stirling and Strathallan;Chris Kane;2;Central;76284;9469;16856;2530;3145;2320;15462;0;0
Antrim East;Sammy Wilson;1;Antrim;73302;9476;892;11462;10156;4135;2986;0;568
Antrim North;Jim Allister;1;Antrim;74697;3901;1661;11192;4488;11642;7714;0;587
Antrim South;Robin Swann;1;Antrim;77058;16311;1589;8799;4574;2693;8034;0;908
Belfast East;Gavin Robinson;1;Antrim;72917;1818;619;19894;17218;1918;0;0;1239
Belfast North;John Finucane;1;Antrim;74240;0;1413;12062;4274;2877;17674;0;2152
Belfast South and Mid Down;Claire Hanna;1;Antrim;74749;2653;21345;6859;8839;2218;0;0;1577
Belfast West;Paul Maskey;1;Antrim;75346;461;4318;4304;1077;2010;21009;5048;1516
Down North;Alex Easton;1;Down;73885;6754;657;0;13608;0;0;20913;1364
Down South;Chris Hazzard;1;Down;76248;1411;10418;7349;3187;1893;19698;0;1287
Fermanagh and South Tyrone;Pat Cullen;1;Fermanagh;77828;20273;2386;0;2420;0;24844;0;1153
Foyle;Colum Eastwood;1;Londonderry;73496;1422;15647;3915;1268;0;11481;0;4625
Lagan Valley;Sorcha-Lucy Eastwood;1;Down;82201;11157;1028;15659;18618;2186;0;0;433
Londonderry East;Gregory Campbell;1;Londonderry;75707;3412;5260;11506;3734;4363;11327;0;1675
Newry and Armagh;Dáire Hughes;1;Down;78244;3175;6806;5900;2692;4099;22299;0;971
Strangford;Jim Shannon;1;Down;74525;3941;1783;15559;10428;3143;2793;0;1262
Tyrone West;Órfhlaith Begley;1;Fermanagh;74269;2683;5821;6794;2287;2530;22711;0;869
Ulster Mid;Cathal Mallaghan;1;Tyrone;74000;2269;3722;9162;2001;2978;24085;0;1228
Upper Bann;Carla Lockhart;1;Armagh;81249;3662;1496;21642;6322;0;14236;0;0
